,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
40,alpha_1.5_temp_0.5,1.5,0.5,43,4000,0.9777112,1.5486609,1,1.759384016,0.848570413,0.434056013,0.492622474
41,alpha_1.5_temp_0.5,1.5,0.5,43,4100,0.96291614,1.5484239,1,1.75083142,0.849238255,0.431315565,0.490903295
42,alpha_1.5_temp_0.5,1.5,0.5,43,4200,0.9558771,1.5693867,1,1.763400898,0.848834853,0.434615829,0.489725415
43,alpha_1.5_temp_0.5,1.5,0.5,43,4300,0.94744843,1.5651726,1,1.745812461,0.849343859,0.429950514,0.487029488
44,alpha_1.5_temp_0.5,1.5,0.5,43,4400,0.9373346,1.5866383,1,1.739612515,0.84760061,0.428461419,0.481326243
45,alpha_1.5_temp_0.5,1.5,0.5,43,4500,0.92698455,1.5891023,1,1.746795171,0.847395923,0.428650018,0.481184503
46,alpha_1.5_temp_0.5,1.5,0.5,43,4600,0.91675234,1.5928957,1,1.761452153,0.847200327,0.430911909,0.482505548
47,alpha_1.5_temp_0.5,1.5,0.5,43,4700,0.90598154,1.6060854,1,1.757928432,0.847007899,0.428528212,0.482454108
48,alpha_1.5_temp_0.5,1.5,0.5,43,4800,0.89825654,1.6076988,1,1.761153081,0.846470138,0.430169663,0.476519187
49,alpha_1.5_temp_0.5,1.5,0.5,43,4900,0.88894916,1.612099,1,1.754189414,0.84716683,0.431613474,0.483385408
50,alpha_1.5_temp_0.5,1.5,0.5,43,4999,0.8781022,1.6284773,1,1.747059721,0.846722591,0.426667702,0.473882609
,alpha_1.5_temp_0.5,1.5,0.5,44,0,4.29086,4.291706,1,1.2957661387870945,0.6247880818446477,0.16016223318129777,0.32643768875300877
,alpha_1.5_temp_0.5,1.5,0.5,44,100,2.4385726,2.456411,1,1.5845971299664896,0.8645958226919174,0.3316012403567632,0.4719297293424607
,alpha_1.5_temp_0.5,1.5,0.5,44,200,2.2059546,2.243033,1,1.4763520131224712,0.8326349447568258,0.29819192363570135,0.4028109471698602
,alpha_1.5_temp_0.5,1.5,0.5,44,300,1.9596567,2.0517676,1,1.6290529239025204,0.8438683117032051,0.34217783584694067,0.4255793537149826
,alpha_1.5_temp_0.5,1.5,0.5,44,400,1.7582603,1.9014997,1,1.6395436101082714,0.8486102762619655,0.3360820797805985,0.412091162
,alpha_1.5_temp_0.5,1.5,0.5,44,500,1.6318827,1.8010964,1,1.6874165554783283,0.8499186299244563,0.3510918510382374,0.41741923063993464
,alpha_1.5_temp_0.5,1.5,0.5,44,600,1.5460151,1.7426728,1,1.6631379531964725,0.8471412119070688,0.3455550249715646,0.41031470140318077
,alpha_1.5_temp_0.5,1.5,0.5,44,700,1.4799607,1.6848296,1,1.6423207679033964,0.8454549894233544,0.34377640393624703,0.4127058364053567
,alpha_1.5_temp_0.5,1.5,0.5,44,800,1.434876,1.6384962,1,1.6387858268116469,0.8457136791745822,0.3315707164692382,0.3996957486271859
,alpha_1.5_temp_0.5,1.5,0.5,44,900,1.3957242,1.6088873,1,1.6494257083244805,0.843866943,0.3432276317775249,0.4086071144044399
,alpha_1.5_temp_0.5,1.5,0.5,44,1000,1.3646047,1.583698,1,1.6504914905621746,0.8418759966790677,0.33988413581003746,0.4041158036192258
,alpha_1.5_temp_0.5,1.5,0.5,44,1100,1.3409321,1.5678552,1,1.6472154303609148,0.8410879394710064,0.3385715321935714,0.4011026132851839
,alpha_1.5_temp_0.5,1.5,0.5,44,1200,1.3173865,1.5574938,1,1.6093873099639124,0.8424212118784586,0.3287448597674569,0.3963363290776809
,alpha_1.5_temp_0.5,1.5,0.5,44,1300,1.2971948,1.5413914,1,1.6412327599963812,0.8415879187583922,0.3372903839840243,0.39348835241297886
,alpha_1.5_temp_0.5,1.5,0.5,44,1400,1.277296,1.5244564,1,1.6371936071639255,0.8408530699610711,0.3329785144838194,0.3955371114859978
,alpha_1.5_temp_0.5,1.5,0.5,44,1500,1.2613238,1.5169885,1,1.6231115003842789,0.8404564897914728,0.3303671282225599,0.39117762163281444
,alpha_1.5_temp_0.5,1.5,0.5,44,1600,1.2466211,1.517439,1,1.6508840140750325,0.8410934777657192,0.33767151853380106,0.3983041087289651
,alpha_1.5_temp_0.5,1.5,0.5,44,1700,1.2317592,1.5108721,1,1.628123370898123,0.8395447466472784,0.3278051628523196,0.38913326723376906
,alpha_1.5_temp_0.5,1.5,0.5,44,1800,1.2181284,1.5017973,1,1.6073689530261408,0.8404050975541275,0.32291952849552036,0.39128552266955374
,alpha_1.5_temp_0.5,1.5,0.5,44,1900,1.2079792,1.4980303,1,1.612880398910893,0.841807141,0.32400400114587197,0.39464993228514994
,alpha_1.5_temp_0.5,1.5,0.5,44,2000,1.1936746,1.4980044,1,1.6258667846223764,0.839896342,0.32761363235209134,0.38416492682695386
,alpha_1.5_temp_0.5,1.5,0.5,44,2100,1.1827651,1.4977932,1,1.6360273731877888,0.8399357565144698,0.3329972802180176,0.3873072420358658
