Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
70,alpha_2.5_temp_0.5,2.5,0.5,44,1900,1.2377415,1.5065327,1,2.192857531,0.975594331,0.621442644,0.616048795
71,alpha_2.5_temp_0.5,2.5,0.5,44,2000,1.2240108,1.5052738,1,2.203857802,0.976275151,0.624743181,0.622592851
72,alpha_2.5_temp_0.5,2.5,0.5,44,2100,1.2148347,1.4961586,1,2.200424531,0.974698097,0.628689133,0.624391813
73,alpha_2.5_temp_0.5,2.5,0.5,44,2200,1.2056971,1.4962099,1,2.192272534,0.974908256,0.627313562,0.618978923
74,alpha_2.5_temp_0.5,2.5,0.5,44,2300,1.1978644,1.4977635,1,2.190331048,0.972069941,0.626629819,0.621298399
75,alpha_2.5_temp_0.5,2.5,0.5,44,2400,1.1867539,1.496481,1,2.164868195,0.970374639,0.621105557,0.613322848
76,alpha_2.5_temp_0.5,2.5,0.5,44,2500,1.1766436,1.4968196,1,2.167651811,0.970684725,0.621493555,0.617037658
77,alpha_2.5_temp_0.5,2.5,0.5,44,2600,1.166055,1.4970146,1,2.191100314,0.968649529,0.632896752,0.627749434
78,alpha_2.5_temp_0.5,2.5,0.5,44,2700,1.1584991,1.4940544,1,2.18425304,0.968297752,0.627302329,0.621616397
79,alpha_2.5_temp_0.5,2.5,0.5,44,2800,1.148757,1.489605,1,2.168074376,0.968924224,0.625472977,0.614125683
80,alpha_2.5_temp_0.5,2.5,0.5,44,2900,1.1393108,1.4886533,1,2.169753874,0.967906542,0.630448293,0.616166456
81,alpha_2.5_temp_0.5,2.5,0.5,44,3000,1.1322029,1.4924167,1,2.181544805,0.965507654,0.629358176,0.619703576
82,alpha_2.5_temp_0.5,2.5,0.5,44,3100,1.1235522,1.4908985,1,2.177713229,0.964459556,0.629005308,0.623187148
83,alpha_2.5_temp_0.5,2.5,0.5,44,3200,1.1161119,1.4924577,1,2.181831496,0.963495021,0.629952819,0.630930233
84,alpha_2.5_temp_0.5,2.5,0.5,44,3300,1.1076657,1.4967966,1,2.173998854,0.963851107,0.626919007,0.621857031
85,alpha_2.5_temp_0.5,2.5,0.5,44,3400,1.1065542,1.4977753,1,2.171042483,0.972967377,0.622727668,0.621630677
86,alpha_2.5_temp_0.5,2.5,0.5,44,3500,1.0933135,1.503729,1,2.16844933,0.969983859,0.621750483,0.622217435
87,alpha_2.5_temp_0.5,2.5,0.5,44,3600,1.0862099,1.5050193,1,2.171736729,0.969382983,0.624433529,0.620828728
88,alpha_2.5_temp_0.5,2.5,0.5,44,3700,1.075539,1.5037698,1,2.173569435,0.966637624,0.629222586,0.622004518
89,alpha_2.5_temp_0.5,2.5,0.5,44,3800,1.0665543,1.5150071,1,2.165948473,0.964620321,0.628841653,0.620148363
90,alpha_2.5_temp_0.5,2.5,0.5,44,3900,1.0586594,1.518405,1,2.164139627,0.962684128,0.627243181,0.620698169
91,alpha_2.5_temp_0.5,2.5,0.5,44,4000,1.0510116,1.5143108,1,2.162322712,0.961437931,0.624575401,0.616128547
92,alpha_2.5_temp_0.5,2.5,0.5,44,4100,1.0400491,1.5173409,1,2.163393327,0.960729735,0.62638159,0.616454306
93,alpha_2.5_temp_0.5,2.5,0.5,44,4200,1.0353829,1.5200416,1,2.164305202,0.95981759,0.625191517,0.617124714
94,alpha_2.5_temp_0.5,2.5,0.5,44,4300,1.0252898,1.528224,1,2.160542122,0.95835058,0.625734411,0.619472953
95,alpha_2.5_temp_0.5,2.5,0.5,44,4400,1.0193877,1.5250089,1,2.163004439,0.957144911,0.627370164,0.619815113
96,alpha_2.5_temp_0.5,2.5,0.5,44,4500,1.0085372,1.5383584,1,2.157520492,0.956792743,0.625644456,0.618845297
97,alpha_2.5_temp_0.5,2.5,0.5,44,4600,1.0016645,1.5402058,1,2.158198272,0.955443438,0.625901789,0.618234118
98,alpha_2.5_temp_0.5,2.5,0.5,44,4700,0.99131805,1.5456494,1,2.155268515,0.958175617,0.629100138,0.620294415
99,alpha_2.5_temp_0.5,2.5,0.5,44,4800,0.9852254,1.5517408,1,2.160614152,0.957211898,0.626115286,0.619426206
100,alpha_2.5_temp_0.5,2.5,0.5,44,4900,0.97695094,1.554441,1,2.168358481,0.953601756,0.628720287,0.623390148
101,alpha_2.5_temp_0.5,2.5,0.5,44,4999,0.96974915,1.5639445,1,2.165107527,0.955227168,0.625487646,0.624755521
102,alpha_2.5_temp_0.5,2.5,0.5,46,0,4.401741,4.4015756,1,1.502207467,0.816162006,0.290476416,0.3562124
103,alpha_2.5_temp_0.5,2.5,0.5,46,100,2.452874,2.4700024,0.993958333,1.960591446,0.979154355,0.577222952,0.587054086
104,alpha_2.5_temp_0.5,2.5,0.5,46,200,2.2303374,2.2627325,0.990625,1.964584734,0.978568024,0.578485644,0.587681561
105,alpha_2.5_temp_0.5,2.5,0.5,46,300,1.9994744,2.0808573,0.9955,1.975823076,0.982299254,0.575770209,0.582081431
106,alpha_2.5_temp_0.5,2.5,0.5,46,400,1.8155664,1.94359,0.984291667,1.966119351,0.983417772,0.576769502,0.578668944
107,alpha_2.5_temp_0.5,2.5,0.5,46,500,1.6827655,1.8369529,0.998541667,1.972807632,0.983228456,0.581582248,0.583521584
108,alpha_2.5_temp_0.5,2.5,0.5,46,600,1.5874474,1.7574214,0.979,1.969649028,0.983110203,0.587160506,0.585987984
109,alpha_2.5_temp_0.5,2.5,0.5,46,700,1.5193971,1.6929044,0.979041667,1.971243256,0.981920243,0.586227432,0.583703935
110,alpha_2.5_temp_0.5,2.5,0.5,46,800,1.4693443,1.648778,0.979458333,1.94758931,0.978648327,0.585065806,0.577649238
111,alpha_2.5_temp_0.5,2.5,0.5,46,900,1.4309349,1.6268245,0.980875,1.9595134,0.978146905,0.590066544,0.579540225
112,alpha_2.5_temp_0.5,2.5,0.5,46,1000,1.3979224,1.5935357,0.979375,1.966575062,0.976458754,0.596826036,0.582255929
113,alpha_2.5_temp_0.5,2.5,0.5,46,1100,1.3703871,1.576197,0.979125,1.985784854,0.974915929,0.598969197,0.580111215
114,alpha_2.5_temp_0.5,2.5,0.5,46,1200,1.3464766,1.5642744,0.979166667,2.00716693,0.970791003,0.604175298,0.58026902
115,alpha_2.5_temp_0.5,2.5,0.5,46,1300,1.3260145,1.5477749,0.979041667,2.017294317,0.968534487,0.611836502,0.584190285
116,alpha_2.5_temp_0.5,2.5,0.5,46,1400,1.3091023,1.5355738,0.97975,2.008489183,0.966762835,0.605393406,0.576607528
117,alpha_2.5_temp_0.5,2.5,0.5,46,1500,1.2942827,1.5262586,0.979083333,2.014286393,0.96649632,0.610063675,0.580438192
118,alpha_2.5_temp_0.5,2.5,0.5,46,1600,1.2773204,1.5253152,0.979041667,2.033147033,0.963154878,0.614750276,0.586603847
119,alpha_2.5_temp_0.5,2.5,0.5,46,1700,1.2630177,1.5092319,0.979,2.038657086,0.962011537,0.615767395,0.586604052
120,alpha_2.5_temp_0.5,2.5,0.5,46,1800,1.2503415,1.5035412,0.978875,2.027688681,0.960172786,0.615260552,0.585473684
121,alpha_2.5_temp_0.5,2.5,0.5,46,1900,1.2375423,1.4997346,0.979083333,2.02447963,0.957626358,0.612737146,0.58686169
122,alpha_2.5_temp_0.5,2.5,0.5,46,2000,1.2265275,1.5018208,0.979041667,2.038498813,0.957774313,0.62093859,0.597041168
123,alpha_2.5_temp_0.5,2.5,0.5,46,2100,1.2156364,1.496269,0.979041667,2.028816095,0.959136714,0.617233616,0.587751287
124,alpha_2.5_temp_0.5,2.5,0.5,46,2200,1.204719,1.49825,0.979166667,2.043262134,0.956865758,0.625161664,0.599740194
125,alpha_2.5_temp_0.5,2.5,0.5,46,2300,1.1929507,1.4898247,0.979041667,2.037774281,0.956502662,0.620480155,0.59760914
126,alpha_2.5_temp_0.5,2.5,0.5,46,2400,1.1856252,1.4909995,0.979,2.045644867,0.953043091,0.620690629,0.604061527
127,alpha_2.5_temp_0.5,2.5,0.5,46,2500,1.1743238,1.4902886,0.979125,2.044713688,0.950876223,0.623164672,0.601975487
128,alpha_2.5_temp_0.5,2.5,0.5,46,2600,1.1628394,1.4894569,0.978958333,2.073707282,0.948067563,0.630476987,0.604380304
129,alpha_2.5_temp_0.5,2.5,0.5,46,2700,1.1555254,1.4949224,0.979083333,2.079617084,0.949111039,0.628944896,0.604555368
130,alpha_2.5_temp_0.5,2.5,0.5,46,2800,1.1475399,1.4954209,0.979,2.106255721,0.949668967,0.637987749,0.606872732
131,alpha_2.5_temp_0.5,2.5,0.5,46,2900,1.1362588,1.4959668,0.979041667,2.094623847,0.945588419,0.634685933,0.612914718
132,alpha_2.5_temp_0.5,2.5,0.5,46,3000,1.1324954,1.487331,0.979041667,2.08672798,0.952735075,0.635538429,0.599621126
